gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Pfkfb3,0.8515871620165807,0.05235707424080793,1,1,1
Plin3,0.8528948779313339,-0.1707104832782499,1,1,1
Gck,0.8540032041934513,-0.41576152598138827,0.75,1,1
Rhob,0.8544070380796442,0.05537170725122964,1,1,1
Maob,0.8547580362454777,-0.1162453397716916,1,1,1
Gpnmb,0.8553155971535717,0.18338604438127604,1,1,1
C1galt1c1,0.855724720368781,0.031670917166052526,1,1,1
Acad8,0.8561579097323155,-0.16528400169157886,1,1,1
Cux2,0.856880061150997,0.008648001339231381,1,1,1
Il1a,0.857177781999085,0.07345663108387024,1,1,1
Grn,0.860934770235978,-0.010156873733759397,1,1,1
Cxcl12,0.8609639210989957,-0.3119408819466214,1,1,1
Sgpl1,0.8620108711545245,-0.018373351242317426,1,1,1
Msr1,0.8680092412817322,0.004767202578073504,1,1,1
Cs,0.8689721630988088,0.04830704463391644,1,1,1
Grin2b,0.870842000103502,-0.02950022219366022,1,1,1
Lratd2,0.8736524696741367,-0.2570112589507423,1,0.667,1
Gls,0.8766563611151836,-0.007445995003371841,1,1,1
Degs1,0.878248272819897,-0.018829109004578903,1,1,1
Gns,0.8806108379485427,0.04272638594410161,1,1,1
Galnt1,0.8812453079587556,0.0110192059372336,1,1,1
Pgm1,0.8819948650150592,-0.017288247548853164,1,1,1
Hmgcl,0.8845987678639124,-0.09266068109461068,1,1,1
Nt5c,0.8849996076883135,-0.16002639782954975,1,1,1
Folh1,0.8860708004418151,0.0024185961085697594,1,1,1
Timp3,0.888376149084337,0.0026818433898587735,1,1,1
Reln,0.8884039945797992,-0.11971308491783017,1,1,1
Sncg,0.8896101252214644,-0.024305322232410664,1,1,1
Itk,0.8896177113950021,-0.31825729030427286,0.75,1,1
Adh5,0.8918368519155137,-0.07775277527946756,1,1,1
Cd3d,0.893003464662334,-0.3652981646459008,0.75,1,1
Uqcrc1,0.8932618319537379,0.0033954049277404863,1,1,1
Ppcdc,0.8934672794719355,-0.04206474296702689,1,1,1
Tdo2,0.8941570827992504,-0.25219912732476296,1,1,1
Hs2st1,0.8953546261385072,0.0024193968023094037,1,1,1
Pfkm,0.8954174019793862,0.0684045020951598,1,1,1
Ophn1,0.8961737130217983,-0.006060516501805502,1,1,1
Dld,0.8976304194483653,-0.04635416963265193,1,1,1
Hexa,0.8976847360996298,0.033791416276924835,1,1,1
Ftl1,0.8997581512122403,-0.0018320954903101594,1,1,1
rs7412-WT-226,0.9002049684677188,-0.12715628455574945,1,1,1
Uba52,0.9004612490071501,-0.01772618281018623,1,1,1
Apoc1,0.9011483474735303,-0.13962762304039145,0.75,1,1
St6galnac3,0.9013136694471899,-0.01413390091389527,1,1,1
Fezf2,0.9014453154841722,0.012994774631934214,1,1,1
G6pd2,0.9039965999969012,-0.0461897091432244,1,1,1
Cr2,0.9057268680877417,-0.17574362223187168,1,1,1
Aldoc,0.9070814821537323,0.0080826950807662,1,1,1
Smpd1,0.9083974602493524,-0.03732902812610028,1,1,1
Cox14,0.9125402827404482,-0.07305690354534566,1,1,1
Gpx1,0.9126368091897421,-0.025266528437025038,1,1,1
Stt3a,0.9127240678731501,0.004517974104053302,1,1,1
Srebf2,0.9165560885560413,-6.050570376716635e-4,1,1,1
Hmgcr,0.917302021866124,0.061276396920621146,1,1,1
Tgfbi,0.9219252586310844,0.06967367225782173,1,1,1
Rspo1,0.9234944354609766,0.006173770129863476,1,1,1
Mrc1,0.9243906668072588,-0.245287938224229,1,1,1
Nkg7,0.9246093668587094,-0.18322726544276302,1,1,1
Pomgnt1,0.9252043312550943,-0.04857659962522387,1,1,1
Pgls,0.92856353104689,-0.04787786745385847,1,1,1
Cx3cr1,0.9288033378698497,0.003994075409576858,1,1,1
Acat1,0.9291030168413645,0.01843367950338548,1,1,1
Tmx4,0.9303706490609771,0.003524992989116349,1,1,1
Hmox1,0.9326198063820732,-0.056541200476014186,1,1,1
Flt1,0.9335394047371938,-0.045792577549168545,1,1,1
