#Selection name: 4s2_F2
#Area (µm^2): 31293112.30
Cell ID,Cluster,Transcripts,Area (µm^2)
emcliddc-1,Cluster 8,0,57.35
emckobec-1,Cluster 5,0,232.60
emclkkpd-1,Cluster 5,0,110.09
emclgomm-1,Cluster 8,0,104.04
emckkkjb-1,Cluster 16,0,203.02
emclimmm-1,Cluster 8,0,62.36
emckonhm-1,Cluster 4,0,136.42
emclpjok-1,Cluster 8,0,215.85
emdgkmdl-1,Cluster 5,0,254.73
emcljpej-1,Cluster 9,0,150.51
emcklmld-1,Cluster 1,0,222.98
emcmkacj-1,Cluster 9,0,231.70
emclohgn-1,Cluster 4,0,178.73
emcneaab-1,Cluster 24,0,172.99
emcnaagf-1,Cluster 10,0,234.77
emelofki-1,Cluster 16,0,248.72
emcmimen-1,Cluster 8,0,196.34
emcmknnj-1,Cluster 10,0,151.68
emcndhaj-1,Cluster 4,0,93.34
emcmmlig-1,Cluster 9,0,104.31
emchdioa-1,Cluster 8,0,206.27
emchbgmh-1,Cluster 6,0,168.39
emckfpoh-1,Cluster 10,0,184.33
emcfljpc-1,Cluster 7,0,130.05
emchdbai-1,Cluster 10,0,71.89
emchijbl-1,Cluster 8,0,189.30
emcgdiho-1,Cluster 16,0,214.67
emckangc-1,Cluster 10,0,76.68
emcgebdi-1,Cluster 2,0,461.63
emcjplfk-1,Cluster 8,0,199.59
emcfnihj-1,Cluster 18,0,175.75
emcfmpba-1,Cluster 16,0,216.21
emcjlaid-1,Cluster 5,0,324.76
emcigpdp-1,Cluster 24,0,199.95
emckcppc-1,Cluster 5,0,203.38
emchnbba-1,Cluster 24,0,86.56
emchbdam-1,Cluster 5,0,305.35
emckbcel-1,Cluster 5,0,274.87
elocghbe-1,Cluster 7,0,23.30
elnmohfk-1,Cluster 8,0,160.80
ejbcopmc-1,Cluster 24,0,157.10
ejbdamdl-1,Cluster 5,0,130.68
elnopndc-1,Cluster 24,0,205.78
elnofkfh-1,Cluster 7,0,253.82
elnoamkc-1,Cluster 18,0,243.62
elodbggl-1,Cluster 2,0,278.16
elndljff-1,Cluster 2,0,127.48
elnmcngc-1,Cluster 8,0,128.92
elndlgcb-1,Cluster 11,0,224.34
elnecgmg-1,Cluster 2,0,96.95
elnfbmnd-1,Cluster 7,0,113.07
elnodbmi-1,Cluster 4,0,148.34
elnmdjkf-1,Cluster 8,0,158.32
elnncmkp-1,Cluster 6,0,186.86
elnebdcd-1,Cluster 16,0,252.56
elnmakje-1,Cluster 8,0,124.09
elnnmbhe-1,Cluster 16,0,179.81
elnoenpj-1,Cluster 16,0,137.41
elndfhdo-1,Cluster 9,0,169.29
elnekjmi-1,Cluster 4,0,119.62
emcfccbe-1,Cluster 2,0,340.34
elnehpif-1,Cluster 11,0,355.65
elnndbaa-1,Cluster 4,0,179.81
elnfllkd-1,Cluster 11,0,252.47
elnmoojm-1,Cluster 8,0,132.04
elnnnbgj-1,Cluster 4,0,172.54
elnlpool-1,Cluster 8,0,115.01
elnemmfh-1,Cluster 2,0,166.90
elnelcjc-1,Cluster 7,0,103.27
elnoackg-1,Cluster 5,0,108.28
elnnbchm-1,Cluster 8,0,206.77
elncphpk-1,Cluster 7,0,61.50
elneagom-1,Cluster 2,0,75.19
elndembl-1,Cluster 2,0,243.17
elnneaij-1,Cluster 18,0,226.59
elnoepgn-1,Cluster 5,0,210.52
elnlmfai-1,Cluster 7,0,77.04
elndcfcd-1,Cluster 2,0,213.45
elnlmeha-1,Cluster 2,0,156.24
elnnikja-1,Cluster 5,0,123.05
elndjfio-1,Cluster 2,0,278.52
elnlpaek-1,Cluster 2,0,84.44
elnnimdf-1,Cluster 5,0,234.04
elnlpjhg-1,Cluster 2,0,213.32
emciolfh-1,Cluster 24,0,70.58
emcifnkn-1,Cluster 24,0,120.88
emcepcnk-1,Cluster 5,0,122.87
emcgfnma-1,Cluster 2,0,234.45
emcihoei-1,Cluster 4,0,157.19
emceocom-1,Cluster 5,0,267.96
elnnmgel-1,Cluster 8,0,183.02
emcfkolo-1,Cluster 2,0,108.10
emcjjcen-1,Cluster 4,0,147.66
emcgifdn-1,Cluster 13,0,110.50
elnlldgn-1,Cluster 7,0,87.42
elnpaeop-1,Cluster 4,0,158.14
elnpdkap-1,Cluster 16,0,115.78
elleonhf-1,Cluster 2,0,83.95
elnooiaj-1,Cluster 18,0,123.86
elnjmelh-1,Cluster 5,0,84.98
elnpondf-1,Cluster 7,0,124.36
elobhnpc-1,Cluster 2,0,235.58
elobfhkp-1,Cluster 2,0,149.20
elnpbadc-1,Cluster 2,0,294.83
ellemgef-1,Cluster 11,0,150.91
elnppjdd-1,Cluster 5,0,143.19
elnpblcm-1,Cluster 18,0,162.79
elleefpd-1,Cluster 11,0,289.86
elodlgej-1,Cluster 7,0,29.76
elodmbgp-1,Cluster 7,0,23.84
elobkifa-1,Cluster 2,0,118.40
elodgchb-1,Cluster 16,0,144.64
elockggp-1,Cluster 2,0,129.19
elniiapl-1,Cluster 11,0,154.98
elodlgdd-1,Cluster 7,0,52.83
elodkejo-1,Cluster 7,0,88.55
elodihfh-1,Cluster 11,0,128.65
elnjjkkp-1,Cluster 5,0,191.78
elodmfhn-1,Cluster 2,0,151.41
elnibomk-1,Cluster 2,0,96.14
elnilfgb-1,Cluster 2,0,246.69
elniiadd-1,Cluster 11,0,131.27
elnieead-1,Cluster 11,0,254.95
elodmgfg-1,Cluster 2,0,236.21
elocmomn-1,Cluster 11,0,168.88
elnjacfe-1,Cluster 9,0,238.65
elodhlak-1,Cluster 2,0,191.91
elnknfnl-1,Cluster 13,0,160.08
elocfhmd-1,Cluster 13,0,257.53
elnhlljb-1,Cluster 11,0,90.49
elnklbcj-1,Cluster 11,0,133.08
elnllkkp-1,Cluster 3,0,228.67
eloefimc-1,Cluster 11,0,200.58
elngodmk-1,Cluster 11,0,235.63
elnhmgha-1,Cluster 11,0,93.74
ellfaepa-1,Cluster 11,0,264.30
elngholh-1,Cluster 11,0,215.44
elnhbajg-1,Cluster 2,0,192.09
elodgboe-1,Cluster 8,0,100.74
elnggmje-1,Cluster 11,0,177.74
elodfaip-1,Cluster 2,0,190.33
elngimmd-1,Cluster 7,0,128.97
elnholdp-1,Cluster 4,0,176.56
ejbdganb-1,Cluster 6,0,217.47
ejbchaam-1,Cluster 8,0,155.88
ejbcebjk-1,Cluster 8,0,179.50
ejbcobgb-1,Cluster 17,0,57.08
ejbcjpcj-1,Cluster 8,0,132.85
ejbdckgl-1,Cluster 8,0,179.23
ejbdfpcm-1,Cluster 8,0,114.92
ejbdoden-1,Cluster 8,0,135.06
ejbedjdd-1,Cluster 24,0,210.47
ejbeneci-1,Cluster 8,0,140.48
elpejbph-1,Cluster 11,0,166.45
elpehaip-1,Cluster 2,0,165.86
elpfbnbh-1,Cluster 13,0,105.12
elpeiacf-1,Cluster 2,0,242.94
elogkpgn-1,Cluster 8,0,132.67
elpfgfcd-1,Cluster 11,0,173.40
elmchcgl-1,Cluster 2,0,238.15
elmbnmof-1,Cluster 2,0,172.45
